Country,Year,Value
Azerbaijan,2008,36,
Bahamas,2008,54,
Bahrain,2008,33,
Bangladesh,2008,91,
Barbados,2008,31,
Belarus,2008,125,
Belgium,2008,42,
Belize,2008,92,
Benin,2008,87,
Bhutan,2008,105,
Bolivia (Plurinational State of),2008,64,
Bosnia and Herzegovina,2008,29,
Botswana,2008,107,
Brazil,2008,76,
Brunei Darussalam,2008,24,
Bulgaria,2008,42,
Burkina Faso,2008,108,
Burundi,2008,124,
Cabo Verde,2008,71,
Cambodia,2008,65,
Cameroon,2008,111,
Canada,2008,32,
Central African Republic,2008,151,
Chad,2008,119,
Chile,2008,45,
China,2008,70,
Colombia,2008,97,
Comoros,2008,76,
Congo,2008,140,
Cook Islands,2008,31,
Costa Rica,2008,56,
Côte d’Ivoire,2008,172,
Croatia,2008,48,
Cuba,2008,48,
Cyprus,2008,31,
Czech Republic,2008,43,
Democratic People's Republic of Korea,2008,46,
Democratic Republic of the Congo,2008,155,
Denmark,2008,33,
Djibouti,2008,80,
TABLE_END
Country,Year,Value
Afghanistan,2012,16.2,
Albania,2012,32.56,
Algeria,2012,26.62,
Angola,2012,16.18,
Antigua and Barbuda,2012,30.26,
Argentina,2012,30.83,
Armenia,2012,32.3,
Australia,2012,37.08,
Austria,2012,42.4,
Azerbaijan,2012,29.34,
Bahamas,2012,31.54,
Bahrain,2012,30.07,
Bangladesh,2012,24.7,
Barbados,2012,36.68,
Belarus,2012,39.15,
Belgium,2012,41.41,
Belize,2012,22.69,
Benin,2012,18.3,
Bhutan,2012,25.29,
Bolivia (Plurinational State of),2012,22.14,
Bosnia and Herzegovina,2012,39.23,
Botswana,2012,22.33,
Brazil,2012,29.89,
Brunei Darussalam,2012,30.14,
Bulgaria,2012,42.84,
Burkina Faso,2012,17.01,
Burundi,2012,17.64,
Cabo Verde,2012,23.71,
Cambodia,2012,24.1,
Cameroon,2012,18.18,
Canada,2012,39.99,
Central African Republic,2012,19.59,
Chad,2012,15.7,
Chile,2012,32.76,
China,2012,35.12,
Colombia,2012,27.4,
Comoros,2012,19.08,
Congo,2012,18.81,
Costa Rica,2012,29.29,
Côte d’Ivoire,2012,18.96,
Croatia,2012,42.38,
Cuba,2012,39.57,
Cyprus,2012,34.88,
Czech Republic,2012,40.07,
Democratic People's Republic of Korea,2012,33.4,
Democratic Republic of the Congo,2012,17.27,
Denmark,2012,40.95,
Djibouti,2012,22.55,
Dominican Republic,2012,25.53,
Ecuador,2012,25.83,
TABLE_END
Country,Year,Education Level,Residence Area,Wealth Quintile,Value
Albania,2008,,,Q1 (Poorest),18.2,
Albania,2008,,,Q2,19.0,
Albania,2008,,,Q3,39.8,
Albania,2008,,,Q4,14.7,
Albania,2008,,,Q5 (Richest),5.9,
Albania,2008,Primary,,,37.0,
Albania,2008,Secondary or higher,,,5.7,
Armenia,2010,,,Q1 (Poorest),50.1,
Armenia,2010,,,Q2,30.7,
Armenia,2010,,,Q3,23.4,
Armenia,2010,,,Q4,20.2,
Armenia,2010,,,Q5 (Richest),12.1,
Armenia,2005,,,Q1 (Poorest),47.1,
Armenia,2005,,,Q2,39.0,
Armenia,2005,,,Q3,37.9,
Armenia,2005,,,Q4,34.6,
Armenia,2005,,,Q5 (Richest),12.3,
Armenia,2005,Secondary or higher,,,32.9,
Armenia,2000,Secondary or higher,,,57.4,
Armenia,2000,,Urban,,38.2,
Armenia,2000,,,Q1 (Poorest),110.2,
Armenia,2000,,,Q2,72.9,
Armenia,2000,,,Q3,39.0,
Armenia,2000,,,Q4,45.3,
Armenia,2000,,,Q5 (Richest),34.4,
Azerbaijan,2006,,,Q1 (Poorest),59.6,
Azerbaijan,2006,,,Q2,54.6,
Azerbaijan,2006,,,Q3,33.8,
Azerbaijan,2006,,,Q4,24.9,
Azerbaijan,2006,,,Q5 (Richest),15.6,
Azerbaijan,2006,None,,,68.9,
Azerbaijan,2006,Primary,,,104.0,
Azerbaijan,2006,Secondary or higher,,,34.4,
Benin,2006,None,,,170.6,
Benin,2006,Primary,,,94.1,
Benin,2006,Secondary or higher,,,27.8,
Benin,2006,,,Q1 (Poorest),172.6,
Benin,2006,,,Q2,155.1,
Benin,2006,,,Q3,147.8,
Benin,2006,,,Q4,104.4,
Benin,2006,,,Q5 (Richest),40.4,
Benin,2001,None,,,142.8,
Benin,2001,Primary,,,88.0,
Benin,2001,Secondary or higher,,,23.1,
Benin,2001,,,Q1 (Poorest),163.7,
Benin,2001,,,Q2,145.0,
Benin,2001,,,Q3,145.3,
Benin,2001,,,Q4,95.0,
Benin,2001,,,Q5 (Richest),37.8,
Benin,1996,,,Q1 (Poorest),186.0,
TABLE_END
Country,Year,Gender,Education Level,Residence Area,Wealth Quintile,Value
Albania,2008,Male,,,,22.4,
Albania,2008,Female,,,,15.5,
Albania,2008,,,,Q1 (Poorest),29.1,
Albania,2008,,,,Q2,9.8,
Albania,2008,,,,Q3,23.0,
Albania,2008,,,,Q4,17.5,
Albania,2008,,,,Q5 (Richest),13.3,
Albania,2008,,,Urban,,12.4,
Albania,2008,,,Rural,,23.5,
Albania,2008,,Primary,,,21.1,
Albania,2008,,Secondary or higher,,,15.7,
Armenia,2010,Male,,,,17.0,
Armenia,2010,Female,,,,20.3,
Armenia,2010,,,,Q1 (Poorest),21.0,
Armenia,2010,,,,Q2,21.4,
Armenia,2010,,,,Q3,17.3,
Armenia,2010,,,,Q4,12.0,
Armenia,2010,,,,Q5 (Richest),20.7,
Armenia,2010,,,Urban,,16.3,
Armenia,2010,,,Rural,,22.0,
Armenia,2010,,Secondary or higher,,,18.6,
Armenia,2005,,,,Q1 (Poorest),40.1,
Armenia,2005,,,,Q2,25.8,
Armenia,2005,,,,Q3,23.1,
Armenia,2005,,,,Q4,31.1,
Armenia,2005,,,,Q5 (Richest),13.4,
Armenia,2005,Male,,,,29.0,
Armenia,2005,Female,,,,25.4,
Armenia,2005,,Secondary or higher,,,27.6,
Armenia,2005,,,Urban,,24.8,
Armenia,2005,,,Rural,,30.8,
Armenia,2000,,Secondary or higher,,,44.0,
Armenia,2000,,,Urban,,35.1,
Armenia,2000,,,Rural,,53.0,
Armenia,2000,Male,,,,45.3,
Armenia,2000,Female,,,,42.1,
Armenia,2000,,,,Q1 (Poorest),52.9,
Armenia,2000,,,,Q2,50.5,
Armenia,2000,,,,Q3,36.8,
Armenia,2000,,,,Q4,47.7,
Armenia,2000,,,,Q5 (Richest),26.1,
Azerbaijan,2006,Male,,,,54.9,
Azerbaijan,2006,Female,,,,41.0,
Azerbaijan,2006,,,,Q1 (Poorest),52.3,
Azerbaijan,2006,,,,Q2,59.4,
Azerbaijan,2006,,,,Q3,52.0,
Azerbaijan,2006,,,,Q4,39.1,
Azerbaijan,2006,,,,Q5 (Richest),34.1,
Azerbaijan,2006,,,Urban,,45.2,
Azerbaijan,2006,,,Rural,,52.0,
TABLE_END
Country,Year,Education Level,Wealth Quintile,Value
Albania,2008,,Q1 (Poorest),2.1,
Albania,2008,,Q2,1.8,
Albania,2008,,Q3,2.0,
Albania,2008,,Q4,1.6,
Albania,2008,,Q5 (Richest),1.3,
Albania,2008,None,,3.4,
Albania,2008,Primary,,2.1,
Albania,2008,Secondary or higher,,1.3,
Armenia,2010,,Q1 (Poorest),1.8,
Armenia,2010,,Q2,1.8,
Armenia,2010,,Q3,1.6,
Armenia,2010,,Q4,1.8,
Armenia,2010,,Q5 (Richest),1.4,
Armenia,2005,,Q1 (Poorest),1.8,
Armenia,2005,,Q2,1.8,
Armenia,2005,,Q3,1.7,
Armenia,2005,,Q4,1.6,
Armenia,2005,,Q5 (Richest),1.5,
Armenia,2005,Primary,,2.7,
Armenia,2005,Secondary or higher,,1.6,
Armenia,2000,Primary,,0.5,
Armenia,2000,Secondary or higher,,1.9,
Armenia,2000,,Q1 (Poorest),2.6,
Armenia,2000,,Q2,2.1,
Armenia,2000,,Q3,1.6,
Armenia,2000,,Q4,1.7,
Armenia,2000,,Q5 (Richest),1.6,
Azerbaijan,2006,,Q1 (Poorest),2.4,
Azerbaijan,2006,,Q2,2.3,
Azerbaijan,2006,,Q3,2.0,
Azerbaijan,2006,,Q4,1.7,
Azerbaijan,2006,,Q5 (Richest),1.5,
Azerbaijan,2006,None,,2.4,
Azerbaijan,2006,Primary,,2.3,
Azerbaijan,2006,Secondary or higher,,1.9,
Benin,2006,None,,6.5,
Benin,2006,Primary,,5.0,
Benin,2006,Secondary or higher,,3.6,
Benin,2006,,Q1 (Poorest),7.3,
Benin,2006,,Q2,6.6,
Benin,2006,,Q3,6.2,
Benin,2006,,Q4,5.3,
Benin,2006,,Q5 (Richest),4.2,
Benin,2001,,Q1 (Poorest),7.3,
Benin,2001,,Q2,6.8,
Benin,2001,,Q3,6.8,
Benin,2001,,Q4,5.1,
Benin,2001,,Q5 (Richest),3.6,
Benin,2001,None,,6.4,
Benin,2001,Primary,,5.0,
TABLE_END
Country,Year,Value
Afghanistan,2012,20.8,
Afghanistan,2011,19.0,
Afghanistan,2010,20.9,
Afghanistan,2009,21.1,
Afghanistan,2008,19.1,
Afghanistan,2007,10.9,
Afghanistan,2006,12.4,
Afghanistan,2005,9.2,
Afghanistan,2004,10.5,
Afghanistan,2003,6.5,
Afghanistan,2002,6.7,
Albania,2012,47.6,
Albania,2011,47.9,
Albania,2010,45.4,
Albania,2009,47.1,
Albania,2008,43.7,
Albania,2007,40.8,
Albania,2006,43.9,
Albania,2005,44.3,
Albania,2004,42.0,
Albania,2003,35.9,
Albania,2002,34.8,
Albania,2001,38.2,
Albania,2000,36.1,
Albania,1999,43.3,
Albania,1998,39.5,
Albania,1997,39.2,
Albania,1996,39.4,
Albania,1995,48.1,
Algeria,2012,84.1,
Algeria,2011,82.0,
Algeria,2010,79.2,
Algeria,2009,79.4,
Algeria,2008,80.0,
Algeria,2007,77.1,
Algeria,2006,74.4,
Algeria,2005,72.7,
Algeria,2004,72.4,
Algeria,2003,77.8,
Algeria,2002,76.5,
Algeria,2001,77.4,
Algeria,2000,73.3,
Algeria,1999,69.4,
Algeria,1998,70.3,
Algeria,1997,71.0,
Algeria,1996,74.7,
Algeria,1995,72.2,
Andorra,2012,76.6,
Andorra,2011,73.6,
Andorra,2010,73.5,
TABLE_END
Country,Year,Gender,Value
Afghanistan,2012,Male,58,
Afghanistan,2012,Female,61,
Afghanistan,2012,Both sexes,60,
Afghanistan,2000,Male,54,
Afghanistan,2000,Female,56,
Afghanistan,2000,Both sexes,55,
Afghanistan,1990,Male,49,
Afghanistan,1990,Female,50,
Afghanistan,1990,Both sexes,49,
Albania,2012,Male,73,
Albania,2012,Female,75,
Albania,2012,Both sexes,74,
Albania,2000,Male,68,
Albania,2000,Female,73,
Albania,2000,Both sexes,70,
Albania,1990,Male,67,
Albania,1990,Female,71,
Albania,1990,Both sexes,69,
Algeria,2012,Male,70,
Algeria,2012,Female,73,
Algeria,2012,Both sexes,72,
Algeria,2000,Male,68,
Algeria,2000,Female,71,
Algeria,2000,Both sexes,70,
Algeria,1990,Male,66,
Algeria,1990,Female,69,
Algeria,1990,Both sexes,68,
Andorra,2012,Male,79,
Andorra,2012,Female,86,
Andorra,2012,Both sexes,83,
Andorra,2000,Male,76,
Andorra,2000,Female,83,
Andorra,2000,Both sexes,80,
Andorra,1990,Male,74,
Andorra,1990,Female,81,
Andorra,1990,Both sexes,77,
Angola,2012,Male,50,
Angola,2012,Female,52,
Angola,2012,Both sexes,51,
Angola,2000,Male,44,
Angola,2000,Female,47,
Angola,2000,Both sexes,46,
Angola,1990,Male,41,
Angola,1990,Female,45,
Angola,1990,Both sexes,43,
Antigua and Barbuda,2012,Male,73,
Antigua and Barbuda,2012,Female,77,
Antigua and Barbuda,2012,Both sexes,75,
Antigua and Barbuda,2000,Male,72,
Antigua and Barbuda,2000,Female,74,
TABLE_END
